file,n,ok_MSL,ok_ANNMAX,overall_ok,notes
kure-hd13-jpn-jodc_jcg_annual.csv,58,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=1"
la_coruna-830-esp-uhslc_fd_annual.csv,74,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=2"
la_jolla-9410230-usa-noaa_annual.csv,92,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
la_jolla_ca-554-usa-uhslc_fd_annual.csv,92,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
la_jolla_ca-554a-usa-uhslc_rq_annual.csv,86,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
la_libertad-091-ecu-uhslc_fd_annual.csv,69,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
la_libertad-091a-ecu-uhslc_rq_annual.csv,63,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
le_conquet-152-fra-refmar_annual.csv,49,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2"
leconquettg_60minute-lec-fra-cmems_annual.csv,49,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2"
los_angeles-9410660-usa-noaa_annual.csv,100,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
los_angeles_ca-567a-usa-uhslc_rq_annual.csv,96,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
magueyes_island-9759110-usa-noaa_annual.csv,59,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=4"
