filename,AIC_s,BIC_s,AIC_ns,BIC_ns,LRT_stat,LRT_p,beta1,gamma1,slope_MSL,errMSL,slope_res,errresid
esperance-62080-aus-bom_annual,380.74,386.81,398.90,409.02,-14.16,1.000000000,-0.006135,0.000000,0.169832105,0.037185390,-0.016565717,0.200570456
fernandina_beach-8720030-usa-noaa_annual,964.92,972.94,1007.30,1020.67,-38.38,1.000000000,0.025781,0.000000,0.237659005,0.012421608,-0.035523348,0.175487729
fishguard-fis-gbr-bodc_annual,359.93,365.29,362.12,371.04,1.81,0.404264251,0.635454,0.000000,0.316487339,0.039392060,0.536636560,0.303466676
foglo_degerby-134252-fin-fmi_annual,405.71,411.68,417.05,427.00,-7.34,1.000000000,0.242809,0.000000,-0.057892947,0.055957624,0.311960267,0.184161389
fort_denison-333-aus-uhslc_fd_annual,368.70,374.88,389.48,399.78,-16.78,1.000000000,-0.192129,0.000000,0.160481527,0.020347986,-0.196512777,0.191668289
fort_denison-333a-aus-uhslc_rq_annual,350.31,356.33,369.70,379.74,-15.39,1.000000000,-0.322207,0.000000,0.137054618,0.020691000,-0.331860918,0.220486069
fort_myers-8725520-usa-noaa_annual,439.45,445.06,464.58,473.94,-21.13,1.000000000,1.439645,0.000000,0.386350252,0.032422934,0.897810813,0.451958540
fort_pulaski-8670870-usa-noaa_annual,738.65,745.90,777.30,789.39,-34.65,1.000000000,0.108790,0.000000,0.360848225,0.015253478,0.079354565,0.206727827
fort_pulaski_ga-752-usa-uhslc_fd_annual,741.79,749.05,778.83,790.93,-33.04,1.000000000,0.154164,0.000000,0.360013575,0.015427898,0.113915689,0.205781635
fort_pulaski_ga-752a-usa-uhslc_rq_annual,709.99,717.10,711.79,723.63,2.21,0.331624581,0.266983,-0.005241,0.342473331,0.015198084,0.157817644,0.250590258
freeport-8772440-usa-noaa_annual,448.22,453.96,468.51,478.07,-16.29,1.000000000,-0.039389,0.000000,0.904993490,0.066710419,-0.054583330,0.193483740
fremantle-62230-aus-bom_annual,823.41,831.56,856.13,869.73,-28.73,1.000000000,-0.013708,0.000000,0.168315833,0.013911223,0.029804991,0.113345469
friday_harbor-9449880-usa-noaa_annual,641.24,648.64,683.86,696.19,-38.62,1.000000000,-0.292503,0.000000,0.113517015,0.012316654,-0.046385044,0.200585306
fukue-ma50-jpn-jodc_jma_annual,417.74,423.76,449.05,459.09,-27.31,1.000000000,0.146877,0.000000,0.194549439,0.021618131,-0.027786287,0.335370014
furuogrund-fur-swe-cmems_annual,941.24,949.32,926.74,940.20,18.50,0.000095912,-0.189658,0.000000,-0.776858559,0.023341476,-0.199328993,0.055410409
galveston_pier_21-775-usa-uhslc_fd_annual,970.36,978.44,1051.33,1064.79,-76.97,1.000000000,0.105877,0.000000,0.653729022,0.012458815,0.104185602,0.067488062
galveston_pier_21-775a-usa-uhslc_rq_annual,937.04,945.00,1017.17,1030.44,-76.13,1.000000000,0.127066,0.000000,0.646197222,0.012968144,0.100166761,0.073475636
galveston_pier_21-8771450-usa-noaa_annual,1008.77,1016.98,1097.19,1110.88,-84.42,1.000000000,0.081373,0.000000,0.661544104,0.012653346,0.087141630,0.062669005
galveston_ppier-767-usa-uhslc_fd_annual,467.72,473.46,514.55,524.11,-42.83,1.000000000,0.010728,0.000000,0.619768533,0.041536005,0.080284431,0.286874814
galveston_ppier-767a-usa-uhslc_rq_annual,473.05,478.79,514.55,524.11,-37.50,1.000000000,0.010710,0.000000,0.619777076,0.041535174,0.080267767,0.286867655
gedser-837a-dnk-uhslc_rq_annual,1007.87,1016.02,1019.15,1032.74,-7.29,1.000000000,-0.246748,0.000000,0.119770364,0.009836651,-0.149815266,0.348109848
gedser-ged-dnk-dmi_annual,1116.06,1124.49,1125.39,1139.45,-5.33,1.000000000,-0.201691,0.000000,0.126888946,0.008402386,-0.231238152,0.313164639
