filename_x,AIC_s,BIC_s,AIC_ns,BIC_ns,LRT_stat,LRT_p,beta1,slope_MSL,errMSL,slope_res,errresid,filename_y,n_years,completeness,longitude,latitude,country
bar_harbor-8413320-usa-noaa_annual,547.15,553.67,548.83,557.53,0.31,0.575063703,-0.130970,0.242077770,0.013198353,-0.138661489,0.308776412,bar_harbor-8413320-usa-noaa,77,0.9896,-68.204278,44.392194,USA
bergen-bgo-nor-nhs_annual,641.90,649.40,653.83,663.82,-9.92,1.000000000,0.518278,0.078083347,0.014238148,0.607164325,0.186796114,bergen-bgo-nor-nhs,108,0.9233,5.320487,60.398046,NOR
bergentg-ber-nor-cmems_annual,661.17,668.67,652.51,662.51,10.65,0.001099045,0.663599,0.020422383,0.012337174,0.768426250,0.245587378,bergentg-ber-nor-cmems,108,2.6205,5.320487,60.398045,NOR
bjorn-2067-swe-smhi_annual,674.03,681.21,675.15,684.73,0.88,0.348402750,-0.090667,-0.633802304,0.030189525,-0.061396345,0.095629986,bjorn-2067-swe-smhi,88,0.963,17.9667,60.6333,SWE
bjorn-bjo-swe-cmems_annual,657.49,664.67,675.29,684.87,-15.81,1.000000000,-0.081107,-0.633798006,0.030190180,-0.061394477,0.095628010,bjorn-bjo-swe-cmems,88,0.963,17.9667,60.633301,SWE
bodo-boo-nor-nhs_annual,454.64,460.66,451.61,459.64,5.03,0.024883689,0.974676,-0.005342288,0.029846792,0.663021966,0.346353310,bodo-boo-nor-nhs,76,0.8713,14.39977,67.29233,NOR
bodoetg-bod-nor-cmems_annual,469.19,475.32,479.49,487.66,-8.30,1.000000000,0.696246,-0.061619888,0.027799448,0.653593953,0.353773016,bodoetg-bod-nor-cmems,76,3.1904,14.39977,67.292328,NOR
boston-8443970-usa-noaa_annual,920.78,928.69,945.08,955.62,-22.30,1.000000000,0.322266,0.294699736,0.010696607,0.235692350,0.218196948,boston-8443970-usa-noaa,105,0.9959,-71.0534,42.354801,USA
boston_ma-741a-usa-uhslc_rq_annual,906.70,914.49,908.66,919.04,0.04,0.843667796,0.457808,0.286808513,0.011019406,0.337336568,0.237822893,boston_ma-741a-usa-uhslc_rq,101,0.9974,-71.052,42.355,USA
brest-3-fra-refmar_annual,1324.32,1333.54,1326.03,1338.33,0.28,0.594621420,-0.049664,0.133790158,0.006253811,-0.040626646,0.139468596,brest-3-fra-refmar,169,0.9652,-4.49503994,48.38290024,FRA
brest-822-fra-uhslc_fd_annual,1339.77,1349.03,1341.77,1354.12,0.01,0.941566245,-0.006425,0.133335766,0.006445321,0.001639419,0.135240343,brest-822-fra-uhslc_fd,172,1.0442,-4.5,48.383,FRA
brest-822a-fra-uhslc_rq_annual,1289.06,1298.21,1290.90,1303.10,0.17,0.683824680,0.040869,0.126339789,0.006587375,0.049312730,0.149835740,brest-822a-fra-uhslc_rq,165,1.0491,-4.495,48.383,FRA
bresttg_60minute-bre-fra-cmems_annual,1324.26,1333.49,1325.98,1338.28,0.28,0.596063431,-0.049459,0.133840264,0.006257038,-0.040284301,0.139422397,bresttg_60minute-bre-fra-cmems,169,0.9639,-4.4951,48.3829,FRA
bridgeport-8467150-usa-noaa_annual,542.84,548.87,544.86,552.89,-0.02,1.000000000,-0.097784,0.346035887,0.032344374,-0.441023982,0.558721162,bridgeport-8467150-usa-noaa,56,0.9917,-73.181702,41.173302,USA
